都道府県,男,女
北海道,475,467
青森県,488,472
岩手県,478,471
宮城県,470,463
秋田県,488,477
山形県,481,471
福島県,475,464
茨城県,464,450
栃木県,468,457
群馬県,467,457
埼玉県,455,448
千葉県,454,451
東京都,457,453
神奈川県,457,449
新潟県,475,461
富山県,473,455
石川県,470,454
福井県,476,459
山梨県,470,458
長野県,471,463
岐阜県,469,454
静岡県,464,452
愛知県,460,451
三重県,468,452
滋賀県,468,459
京都府,466,454
大阪府,463,451
兵庫県,460,449
奈良県,462,448
和歌山県,474,458
鳥取県,473,459
島根県,482,465
岡山県,466,455
広島県,468,455
山口県,468,453
徳島県,475,452
香川県,468,455
愛媛県,474,451
高知県,479,466
福岡県,467,451
佐賀県,475,456
長崎県,467,451
熊本県,471,458
大分県,473,458
宮崎県,478,469
鹿児島県,477,460
沖縄県,469,453
